Order,N,h,Dofs,Error
3,4,0.25,312,0.003369387
3,8,0.125,1200,0.00042308
3,16,0.0625,4704,5.29E-05
3,32,0.03125,18624,6.62E-06
3,64,0.015625,74112,8.28E-07
3,128,0.0078125,295680,1.03E-07
