Order,N,h,Dofs,Error
3,4,0.25,169,5.48E-05
3,8,0.125,625,3.37E-06
3,16,0.0625,2401,2.09E-07
3,32,0.03125,9409,1.30E-08
3,64,0.015625,37249,8.15E-10
3,128,0.0078125,148225,5.09E-11
