Order,N,h,Dofs,Error
4,4,0.25,320,0.001513855
4,8,0.125,1216,0.00010483
4,16,0.0625,4736,6.82E-06
4,32,0.03125,18688,4.34E-07
4,64,0.015625,74240,2.74E-08
4,128,0.0078125,295936,1.72E-09
