Order,N,h,Dofs,Error,H2Error,Time
2,8,0.125,17152,0.003511621,0.01561607,0.331687927
2,16,0.0625,134144,0.000879366,0.003907817,1.472663164
2,32,0.03125,1060864,0.000219932,0.00097719,105.3967254
