Order,N,h,Dofs,Error
5,4,0.25,472,0.000122876
5,8,0.125,1808,4.37E-06
5,16,0.0625,7072,1.46E-07
5,32,0.03125,27968,4.72E-09
5,64,0.015625,111232,1.50E-10
5,128,0.0078125,443648,4.72E-12
