Order,N,h,Dofs,Error
5,4,0.25,441,7.04E-08
5,8,0.125,1681,1.09E-09
5,16,0.0625,6561,1.69E-11
5,32,0.03125,25921,2.64E-13
5,64,0.015625,103041,4.14E-15
5,128,0.0078125,410881,2.40E-16
