Order,N,h,Dofs,Error
2,8,0.125,13872,0.011061824
2,16,0.0625,104544,0.002764812
2,32,0.03125,811200,0.000691087
2,64,0.015625,6390144,0.000172762
2,128,0.0078125,50725632,4.32E-05
