Order,N,h,Dofs,Error
4,8,0.125,26592,0.000128367
4,16,0.0625,198336,8.34E-06
4,32,0.03125,1530240,5.31E-07
4,64,0.015625,12018432,3.34E-08
4,128,0.0078125,95258112,2.10E-09
