Order,N,h,Dofs,Error
2,4,0.25,144,0.050808372
2,8,0.125,544,0.012756003
2,16,0.0625,2112,0.00319126
2,32,0.03125,8320,0.000797912
2,64,0.015625,33024,0.000199483
2,128,0.0078125,131584,4.99E-05
