Order,N,h,Dofs,Error
3,8,0.125,45000,0.000366513
3,16,0.0625,345744,4.59E-05
3,32,0.03125,2709792,5.73E-06
3,64,0.015625,21455424,7.17E-07
3,128,0.0078125,170755200,8.96E-08
