Order,N,Dofs,Error,Error2,h,Time
3,8,1776,0.000134629,0.00042331,0.125,0.300555944
3,16,7008,1.69E-05,5.30E-05,0.0625,0.173780441
3,32,27840,2.11E-06,6.62E-06,0.03125,0.225539684
3,64,110976,2.63E-07,8.28E-07,0.015625,0.488550901
3,128,443136,3.29E-08,1.03E-07,0.0078125,1.658687115
