Order,N,h,Dofs,Error
6,4,0.25,625,2.18E-09
6,8,0.125,2401,1.85E-11
6,16,0.0625,9409,1.50E-13
6,32,0.03125,37249,1.21E-15
6,64,0.015625,148225,2.01E-16
6,128,0.0078125,591361,2.01E-16
