Order,N,h,Dofs,Error
2,8,0.125,7344,0.011205996
2,16,0.0625,53856,0.002773729
2,32,0.03125,411840,0.000691642
2,64,0.015625,3219840,0.000172797
2,128,0.0078125,25461504,4.32E-05
