Order,N,h,Dofs,Error
3,4,0.25,200,0.012275801
3,8,0.125,752,0.001522122
3,16,0.0625,2912,0.000189065
3,32,0.03125,11456,2.36E-05
3,64,0.015625,45440,2.95E-06
3,128,0.0078125,180992,3.68E-07
