Order,N,Dofs,Error,Error2,h,Time
2,8,608,0.007556901,0.012852436,0.125,0.178512096
2,16,2368,0.001897792,0.00319671,0.0625,0.159034491
2,32,9344,0.000474992,0.000798241,0.03125,0.182398319
2,64,37120,0.000118782,0.000199503,0.015625,0.283797503
2,128,147968,2.97E-05,4.99E-05,0.0078125,1.192532301
