Order,N,h,Dofs,Error
3,8,0.125,14472,0.001829017
3,16,0.0625,106896,0.000227008
3,32,0.03125,820512,2.83E-05
3,64,0.015625,6427200,3.54E-06
3,128,0.0078125,50873472,4.42E-07
