Order,N,h,Dofs,Error
6,8,0.125,68880,6.46E-07
6,16,0.0625,520992,1.07E-08
6,32,0.03125,4049472,1.80E-10
6,64,0.015625,32711808,3.29E-11
6,128,0.0078125,259819776,2.24E-11
