Order,N,h,Dofs,Error,H2Error,Time
2,8,0.125,8768,8.53E-03,2.91E-02,0.298893213
2,16,0.0625,67840,2.15E-03,7.31E-03,7.221072674
2,32,0.03125,533504,5.38E-04,1.83E-03,15.80590987
2,64,0.015625,4231168,0.000134677,0.000457047,811.696795
