Order,N,Dofs,Error,Error2,h,Time
4,8,3136,3.33E-06,1.05E-05,0.125,0.329912424
4,16,12416,2.08E-07,6.55E-07,0.0625,0.258820772
4,32,49408,1.30E-08,4.09E-08,0.03125,0.328267336
4,64,197120,8.15E-10,2.56E-09,0.015625,0.86971879
4,128,787456,5.09E-11,1.60E-10,0.0078125,3.179007769
