Order,N,h,Dofs,Error
4,4,0.25,289,2.47E-06
4,8,0.125,1089,8.65E-08
4,16,0.0625,4225,2.85E-09
4,32,0.03125,16641,9.12E-11
4,64,0.015625,66049,2.88E-12
4,128,0.0078125,263169,9.06E-14
