Order,N,h,Dofs,Error
6,4,0.25,656,7.85E-06
6,8,0.125,2528,1.30E-07
6,16,0.0625,9920,2.07E-09
6,32,0.03125,39296,3.27E-11
6,64,0.015625,156416,5.14E-13
6,128,0.0078125,624128,8.39E-15
