2,8,4913,0.000212092,0.122047186
2,16,35937,2.66E-05,0.196459532
2,32,274625,3.33E-06,0.9393363
2,64,2146689,4.16E-07,11.12951732
2,128,16974593,5.21E-08,193.3411462
3,8,15625,4.81E-06,0.173571348
3,16,117649,3.02E-07,0.572043896
3,32,912673,1.89E-08,6.074920177
3,64,7189057,1.18E-09,118.358021
3,128,57066625,8.62E-11,1434.64186
4,8,35937,9.12E-08,0.328855991
4,16,274625,2.86E-09,2.375339508
4,32,2146689,9.49E-11,28.60202599
4,64,16974593,5.18E-11,473.4016044
4,128,135005697,4.35E-11,7166.201833
