Order,N,Dofs,Error,Error2,h,Time
3,8,1136,0.000477327,0.000438613,0.125,0.209254265
3,16,4448,5.99E-05,5.34E-05,0.0625,0.176773548
3,32,17600,7.50E-06,6.64E-06,0.03125,0.430280209
3,64,70016,9.37E-07,8.28E-07,0.015625,0.37759757
3,128,279296,1.17E-07,1.03E-07,0.0078125,1.208023548
