Order,N,h,Dofs,Error,H2Error,Time
3,8,0.125,57024,0.000116592,0.000518224,1.345536709
3,16,0.0625,449280,1.46E-05,6.48E-05,8.739537001
3,32,0.03125,3566592,1.82E-06,8.11E-06,326.8276649
