Order,N,h,Dofs,Error
4,4,0.25,544,0.00016685
4,8,0.125,2112,1.05E-05
4,16,0.0625,8320,6.55E-07
4,32,0.03125,33024,4.09E-08
4,64,0.015625,131584,2.56E-09
4,128,0.0078125,525312,1.60E-10
