Order,N,h,Dofs,Error,H2Error,Time
3,8,0.125,20096,0.000765101,0.001847517,0.69687438
3,16,0.0625,156160,9.64E-05,0.000230886,2.91485095
3,32,0.03125,1230848,1.21E-05,2.89E-05,86.12393785
3,64,0.015625,9773056,1.51E-06,3.61E-06,8370.022669
