2,32,4225,3.85E-06,0.15272092819213867
2,64,16641,4.81E-07,0.2553236484527588
2,128,66049,6.01E-08,0.7313730716705322
2, 256, 263169, 7.51487733408016e-09, 2.908308982849121
3,32,9409,2.18E-08,0.1778101921081543
3,64,37249,1.36E-09,0.3579118251800537
3,128,148225,8.52E-11,2.941084384918213
3, 256, 591361, 5.324415482352685e-12, 5.079407215118408
4,32,16641,1.03E-10,0.1894667148590088
4,64,66049,3.22E-12,1.1143252849578857
4,128,263169,1.01E-13,1.8357346057891846
4, 256, 1050625, 3.255498451826219e-15, 6.854973316192627
