2,8,0.125,7344,0.011205996,0
2,16,0.0625,53856,0.002773729,2.014371913
2,32,0.03125,411840,0.000691642,2.003729112
2,64,0.015625,3219840,0.000172797,2.000950311
2,128,0.0078125,25461504,4.32E-05,2.000239845
3,8,0.125,14472,0.001829017,0
3,16,0.0625,106896,0.000227008,3.010255169
3,32,0.03125,820512,2.83E-05,3.003404262
3,64,0.015625,6427200,3.54E-06,3.000956746
3,128,0.0078125,50873472,4.42E-07,3.000252371
4,8,0.125,26592,0.000128367,0
4,16,0.0625,198336,8.34E-06,3.943854033
4,32,0.03125,1530240,5.31E-07,3.974536082
4,64,0.015625,12018432,3.34E-08,3.987739169
4,128,0.0078125,95258112,2.10E-09,3.993900295
5,8,0.125,44728,9.11E-06,0
5,16,0.0625,336368,2.89E-07,4.97980254
5,32,0.03125,2606560,9.12E-09,4.985800248
5,64,0.015625,20517824,2.88E-10,4.98587276
5,128,0.0078125,162809728,2.0779759827580045e-11,0
6,8,0.125,68880,6.46E-07,3.711238704
6,16,0.0625,520992,1.07E-08,5.914992542
6,32,0.03125,4049472,1.80E-10,5.897509763
6,64,0.015625,32711808,3.292900171925977e-11,0
6,128,0.0078125,259819776,2.24368603174736e-11,0
