2,32,3201,3.85E-06,0.1327674388885498
2,64,12545,4.81E-07,0.4890904426574707
2,128,49665,6.01E-08,0.574425220489502
2, 256, 197633, 7.514893839353601e-09, 2.312056541442871
3,32,5313,6.82E-08,0.16252684593200684
3,64,20865,4.26E-09,0.29550695419311523
3,128,82689,2.66E-10,0.9726033210754395
3, 256, 329217, 1.6626077440169854e-11, 3.6738951206207275
4,32,8449,1.39E-09,0.17116451263427734
4,64,33281,4.33E-11,0.9048583507537842
4,128,132097,1.35E-12,1.5368151664733887
4, 256, 526337, 4.229438707897355e-14, 5.582468032836914
