2,4,0.25,81,0.001392467583418074
2,8,0.125,289,0.00021025820983398925
2,16,0.0625,1089,2.866036348296337e-05
2,32,0.03125,4225,3.7212031288156148e-06
2,64,0.015625,16641,4.732740689046317e-07
2,128,0.0078125,66049,5.964665415400591e-08
3,4,0.25,169,5.476522994097424e-05
3,8,0.125,625,3.3679750792096043e-06
3,16,0.0625,2401,2.0909608537392e-07
3,32,0.03125,9409,1.3042643342137486e-08
3,64,0.015625,37249,8.147310045957853e-10
3,128,0.0078125,148225,5.0913670223285936e-11
4,4,0.25,289,2.466717379362087e-06
4,8,0.125,1089,8.650941129578853e-08
4,16,0.0625,4225,2.8504448339480703e-09
4,32,0.03125,16641,9.121190153768651e-11
4,64,0.015625,66049,2.88184596059436e-12
4,128,0.0078125,263169,9.058286698115496e-14
5,4,0.25,441,7.040691199633979e-08
5,8,0.125,1681,1.0884203502104415e-09
5,16,0.0625,6561,1.6925617067894374e-11
5,32,0.03125,25921,2.6410012752598843e-13
5,64,0.015625,103041,4.144773102083496e-15
5,128,0.0078125,410881,2.400425325059291e-16
6,4,0.25,625,2.1809026423561954e-09
6,8,0.125,2401,1.8520437332915786e-11
6,16,0.0625,9409,1.503738189980211e-13
6,32,0.03125,37249,1.2147493766806662e-15
6,64,0.015625,148225,2.01158452140508e-16
6,128,0.0078125,591361,2.0124254238320128e-16
